,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
4483,NYCIK,2016-01-31,7,Cancelled,4,2016
4484,NYCIK,2016-01-31,7,Confirmed,4,2016
4507,NYCIK,2016-02-02,9,Confirmed,5,2016
4509,NYCIK,2016-02-06,6,Confirmed,5,2016
4531,LAXWP,2016-02-03,2,Confirmed,5,2016
4532,LAXWP,2016-01-30,5,Cancelled,4,2016
4534,LAXWP,2016-01-11,3,Cancelled,2,2016
4667,MIASS,2016-02-06,10,Confirmed,5,2016
4839,LAXWP,2016-01-27,2,Cancelled,4,2016
4842,NYCIK,2016-01-29,2,Cancelled,4,2016
4960,MIASS,2016-02-04,9,Cancelled,5,2016
5007,SFODR,2016-01-31,10,Cancelled,4,2016
5009,SFODR,2016-02-04,10,Confirmed,5,2016
5010,SFODR,2016-02-07,8,Confirmed,5,2016
5016,LAXWP,2016-02-08,4,Confirmed,6,2016
5217,MIASS,2016-01-09,6,Confirmed,1,2016
5220,MIASS,2016-01-31,17,Confirmed,4,2016
5221,MIASS,2016-02-02,11,Cancelled,5,2016
5436,LAXWP,2016-01-17,7,Confirmed,2,2016
5475,MIASS,2016-02-10,11,Confirmed,6,2016
5479,MIASS,2016-01-29,15,Cancelled,4,2016
5480,MIASS,2016-01-26,10,Confirmed,4,2016
5493,NYCIK,2016-02-10,14,Confirmed,6,2016
5546,NYCIK,2016-02-09,6,Cancelled,6,2016
5738,LAXWP,2016-01-18,1,Cancelled,3,2016
5741,NYCIK,2016-02-11,8,Confirmed,6,2016
5778,MIASS,2016-01-28,7,Cancelled,4,2016
5786,NYCIK,2016-01-14,3,Cancelled,2,2016
5834,SFODR,2016-02-11,7,Confirmed,6,2016
6088,LAXWP,2016-02-09,3,Cancelled,6,2016
6089,LAXWP,2016-02-10,8,Confirmed,6,2016
6090,LAXWP,2016-02-11,2,Cancelled,6,2016
6091,LAXWP,2016-02-12,4,Confirmed,6,2016
6150,MIASS,2016-01-19,13,Cancelled,3,2016
6158,MIASS,2016-02-03,10,Cancelled,5,2016
6160,MIASS,2016-02-05,12,Confirmed,5,2016
6161,MIASS,2016-02-09,12,Confirmed,6,2016
6163,MIASS,2016-01-28,7,Confirmed,4,2016
6164,MIASS,2016-02-11,17,Cancelled,6,2016
6186,MIASS,2016-02-11,17,Confirmed,6,2016
6299,SFODR,2016-01-21,28,Confirmed,3,2016
6512,NYCIK,2016-01-25,2,Confirmed,4,2016
6513,NYCIK,2016-01-27,4,Cancelled,4,2016
6518,NYCIK,2016-02-12,4,Confirmed,6,2016
6799,LAXWP,2016-02-10,8,Cancelled,6,2016
6803,LAXWP,2016-02-11,2,Confirmed,6,2016
6896,MIASS,2016-01-12,5,Confirmed,2,2016
6903,MIASS,2016-01-30,9,Cancelled,4,2016
6913,MIASS,2016-02-12,9,Confirmed,6,2016
7083,SFODR,2016-02-07,8,Cancelled,5,2016
7084,SFODR,2016-02-13,11,Confirmed,6,2016
7145,SFODR,2016-01-28,26,Cancelled,4,2016
7493,NYCIK,2016-01-18,3,Confirmed,3,2016
7494,NYCIK,2016-02-09,6,Confirmed,6,2016
7495,NYCIK,2016-02-10,14,Cancelled,6,2016
7884,MIASS,2016-01-25,6,Cancelled,4,2016
8044,SFODR,2016-02-05,6,Cancelled,5,2016
8074,SFODR,2016-02-14,7,Confirmed,6,2016
8328,LAXWP,2016-02-08,4,Cancelled,6,2016
8329,LAXWP,2016-02-14,4,Confirmed,6,2016
8332,LAXWP,2016-02-13,1,Confirmed,6,2016
8362,NYCIK,2016-02-14,2,Cancelled,6,2016
8633,MIASS,2016-02-09,12,Cancelled,6,2016
8690,SFODR,2016-02-10,10,Confirmed,6,2016
8813,NYCIK,2016-02-15,9,Confirmed,7,2016
8847,LAXWP,2016-02-15,4,Confirmed,7,2016
8993,MIASS,2016-02-10,11,Cancelled,6,2016
9019,MIASS,2016-01-10,10,Confirmed,1,2016
9027,SFODR,2016-02-05,6,Confirmed,5,2016
9284,MIASS,2016-01-11,12,Confirmed,2,2016
9289,MIASS,2016-02-16,11,Cancelled,7,2016
9343,SFODR,2016-02-12,6,Confirmed,6,2016
9449,LAXWP,2016-01-21,6,Confirmed,3,2016
9574,MIASS,2016-02-18,7,Confirmed,7,2016
9576,MIASS,2016-01-26,10,Cancelled,4,2016
9578,MIASS,2016-01-18,14,Cancelled,3,2016
9584,MIASS,2016-01-13,11,Cancelled,2,2016
9729,NYCIK,2016-01-30,5,Cancelled,4,2016
9731,NYCIK,2016-01-26,3,Confirmed,4,2016
9745,NYCIK,2016-02-05,4,Cancelled,5,2016
