Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year,month,,,Mnemonic Code
CLTKM,1/11/2018,9,Cancelled,2,2018,1,,,ONX
BOSML,1/13/2018,31,Confirmed,2,2018,1,,,MPT
BOSOX,1/13/2018,74,Confirmed,2,2018,1,,,CNR
ORDAL,1/13/2018,7,Confirmed,2,2018,1,,,EVT
ORDAL,1/14/2018,2,Confirmed,2,2018,1,,,PRP
ORDCH,1/11/2018,4,Confirmed,2,2018,1,,,PHP
ORDCH,1/12/2018,16,Confirmed,2,2018,1,,,SLM
ORDCH,1/12/2018,18,Cancelled,2,2018,1,,,HVZ
ORDCH,1/13/2018,2,Confirmed,2,2018,1,,,DCP
ORDCM,1/12/2018,5,Confirmed,2,2018,1,,,DCM
MIAVB,1/11/2018,2,Cancelled,2,2018,1,,,ANG
MKETJ,1/13/2018,1,Confirmed,2,2018,1,,,MAD
MSPGR,1/12/2018,26,Cancelled,2,2018,1,,,GRG
NYCAA,1/13/2018,3,Confirmed,2,2018,1,,,GLE
SEAAX,1/11/2018,4,Confirmed,2,2018,1,,,TAC
SEAAX,1/12/2018,2,Cancelled,2,2018,1,,,VRB
SEAAX,1/14/2018,4,Confirmed,2,2018,1,,,SCH
SEAPD,1/12/2018,2,Confirmed,2,2018,1,,,HEL
SEAPD,1/13/2018,3,Confirmed,2,2018,1,,,CDL
PHLPM,1/14/2018,5,Confirmed,2,2018,1,,,GRY
SFOBC,1/12/2018,2,Confirmed,2,2018,1,,,JRY
WDCPA,1/13/2018,11,Cancelled,2,2018,1,,,SEA
WDCRG,1/14/2018,1,Confirmed,2,2018,1,,,AER
WDCMO,1/13/2018,19,Cancelled,2,2018,1,,,BRN
WDCSV,1/11/2018,3,Cancelled,2,2018,1,,,AGY
WDCHG,1/14/2018,1,Confirmed,2,2018,1,,,LAP
SLCSL,1/12/2018,6,Cancelled,2,2018,1,,,SAW
SMFKG,1/14/2018,2,Confirmed,2,2018,1,,,TRY
PSPNP,1/14/2018,2,Confirmed,2,2018,1,,,ROW
PDXPM,1/15/2018,8,Confirmed,3,2018,1,,,
GCMSE,1/13/2018,3,Confirmed,2,2018,1,,,
INTCH,1/13/2018,1,Confirmed,2,2018,1,,,
INTCH,1/14/2018,3,Confirmed,2,2018,1,,,
MIAEP,1/13/2018,9,Cancelled,2,2018,1,,,
DENBO,1/15/2018,6,Confirmed,3,2018,1,,,
ORDAL,1/15/2018,5,Confirmed,3,2018,1,,,
ORDCH,1/15/2018,3,Cancelled,3,2018,1,,,
ORDCH,1/15/2018,2,Confirmed,3,2018,1,,,
PDXPM,1/11/2018,5,Cancelled,2,2018,1,,,
PDXPM,1/14/2018,3,Confirmed,2,2018,1,,,
PDXPR,1/13/2018,47,Confirmed,2,2018,1,,,
MIAVB,1/13/2018,17,Cancelled,2,2018,1,,,
NTCME,1/14/2018,7,Cancelled,2,2018,1,,,
SBAGG,1/15/2018,1,Cancelled,3,2018,1,,,
SEAVP,1/12/2018,1,Confirmed,2,2018,1,,,
SFOBC,1/11/2018,1,Confirmed,2,2018,1,,,
